Log Folder Path;~/Library/Application Support/PurpleRabbit/Logs/2025-08-16_03-52-50-0x1810862220011C;
DFU Mode: Restore;3.3578;
DFU Mode: Transitioning;3.1239;
Recovery: Restore;8.645;
Recovery: Transitioning;61.9315;
RestoreOS: Restore;2429.5424;
RestoreOS: Transitioning;141.4668;
Total Restore Time;2648.067;

RestoreOS Restore Breakdown;;
RestoreOS: Restore: umask;0.0001;
RestoreOS: Restore: setvbuf;0;
RestoreOS: Restore: set_progress_0;0;
RestoreOS: Restore: disable_app_firewall;0.0001;
RestoreOS: Restore: listen_for_log_client;0;
RestoreOS: Restore: create_listen_socket;0;
RestoreOS: Restore: enable_debugger;0;
RestoreOS: Restore: update_root_mount;0;
RestoreOS: Restore: disable_watchdog;0;
RestoreOS: Restore: usbcretimer_dfucheck;0;
RestoreOS: Restore: enable_usb;0;
RestoreOS: Restore: config_network_interface;0.0001;
RestoreOS: Restore: client_protocol_version;0.008;
RestoreOS: Restore: copy_restore_options;0.2694;
RestoreOS: Restore: wait_for_debugger;0.0066;
RestoreOS: Restore: usbcretimer_dfucheck_enforce;0.0067;
RestoreOS: Restore: network_config_enforce;0.0065;
RestoreOS: Restore: is_host_compatible;0.0117;
RestoreOS: Restore: set_weight_from_options;0.008200000000000001;
RestoreOS: Restore: libauthinstall_callback;0.008999999999999999;
RestoreOS: Restore: set_device_time;0.0237;
RestoreOS: Restore: set_display_options;0.0064;
RestoreOS: Restore: check_for_untethered;0.0066;
RestoreOS: Restore: check_battery_voltage;0.0113;
RestoreOS: Restore: check_battery_capacity;0.0104;
RestoreOS: Restore: update_macos_ticket;0.0221;
RestoreOS: Restore: update_ticket;0.0189;
RestoreOS: Restore: wait_for_storage;0.0488;
RestoreOS: Restore: update_NAND_firmware;8.9459;
RestoreOS: Restore: clear_remap_variable;0.011;
RestoreOS: Restore: print_nvram_variables;0.0727;
RestoreOS: Restore: asp_nand_set_writable;0.0076;
RestoreOS: Restore: find_filesystem_partitions;0.0609;
RestoreOS: Restore: verify_storage_for_update;0.007;
RestoreOS: Restore: load_sep_os;2.9057;
RestoreOS: Restore: preload_keys_for_fsck;0.0095;
RestoreOS: Restore: fsck_filesystems;0.0158;
RestoreOS: Restore: mount_system_partition;1.0759;
RestoreOS: Restore: fix_cache_delete;0.0075;
RestoreOS: Restore: clean_update_volume;0.0066;
RestoreOS: Restore: space_checks;0.0074;
RestoreOS: Restore: clear_mobile_gestalt_cache;0.0077;
RestoreOS: Restore: read_previous_os_build_version;0.0069;
RestoreOS: Restore: downgrade_check;0.0063;
RestoreOS: Restore: avoid_nonui_ui_update;0.0067;
RestoreOS: Restore: copy_hardware_info;0.0071;
RestoreOS: Restore: fdr_create;2.0049;
RestoreOS: Restore: fdr_save_data;0.01;
RestoreOS: Restore: sep_attest_qa;0.0072;
RestoreOS: Restore: certify_sep;0.007;
RestoreOS: Restore: syscfg_presubmit_fdr;0.0083;
RestoreOS: Restore: check_for_restore_log;0.008399999999999999;
RestoreOS: Restore: check_for_uncollected_logs;0.007900000000000001;
RestoreOS: Restore: read_persistent_files;0.6993;
RestoreOS: Restore: unmount_unconditionally;0.0324;
RestoreOS: Restore: clean_nand;2.9066;
RestoreOS: Restore: clear_nvram;0.007900000000000001;
RestoreOS: Restore: clear_bootpolicy_nvram;0.0244;
RestoreOS: Restore: format_effaceable_storage;0.009900000000000001;
RestoreOS: Restore: format_ean_storage;0.0149;
RestoreOS: Restore: create_filesystem_partitions;0.0639;
RestoreOS: Restore: update_partitions_for_apfs;0.0145;
RestoreOS: Restore: reload_filesystem_partitions;0.031;
RestoreOS: Restore: format_media;8.747199999999999;
RestoreOS: Restore: find_volumes_after_format;0.0534;
RestoreOS: Restore: provision_mesa;0.0104;
RestoreOS: Restore: prepare_for_system_image;2.5403;
RestoreOS: Restore: init_gigalocker;1.5449;
RestoreOS: Restore: init_permanent_update_volume;1.4934;
RestoreOS: Restore: mount_filesystem;2.0107;
RestoreOS: Restore: restore_system_image;0.0106;
RestoreOS: Restore: write_persistent_files;0.0475;
RestoreOS: Restore: perform_short_prepare;0.0067;
RestoreOS: Restore: fdr_restore_saved_data;0.0343;
RestoreOS: Restore: write_factory_version_plist;0.0124;
RestoreOS: Restore: update_aht;0.1451;
RestoreOS: Restore: fdr_prepare;0.016;
RestoreOS: Restore: install_stage1_firmware;0.0081;
RestoreOS: Restore: aru_migrate_data;0.009299999999999999;
RestoreOS: Restore: await_provisioning_mesa;0.0121;
RestoreOS: Restore: fdr_recover;13.061;
RestoreOS: Restore: fdr_auto_challenge_claim;0.008200000000000001;
RestoreOS: Restore: send_provisioning_info;0.009599999999999999;
RestoreOS: Restore: certify_lynx;0.1805;
RestoreOS: Restore: write_0cfg;0.0578;
RestoreOS: Restore: update_veridian;0.6766;
RestoreOS: Restore: update_iBoot;9.393800000000001;
RestoreOS: Restore: update_ean;0.5044;
RestoreOS: Restore: update_stockholm;0.0293;
RestoreOS: Restore: update_rose;0.0204;
RestoreOS: Restore: update_se;0.0219;
RestoreOS: Restore: update_tcon;0.0132;
RestoreOS: Restore: update_appletcon;0.0137;
RestoreOS: Restore: update_orion;0.0162;
RestoreOS: Restore: update_madea;0.0125;
RestoreOS: Restore: update_peppy;0.0109;
RestoreOS: Restore: update_nitrogen;0.012;
RestoreOS: Restore: update_usbc;0.0117;
RestoreOS: Restore: update_centauri;21.4602;
RestoreOS: Restore: await_update_tcon;0.0295;
RestoreOS: Restore: await_update_appletcon;0.0112;
RestoreOS: Restore: await_update_orion;0.014;
RestoreOS: Restore: await_update_peppy;0.013;
RestoreOS: Restore: await_update_nitrogen;0.0118;
RestoreOS: Restore: await_update_usbc;0.0137;
RestoreOS: Restore: update_ace3;10.9818;
RestoreOS: Restore: update_usbcretimer;103.2924;
RestoreOS: Restore: update_PFX;0.07149999999999999;
RestoreOS: Restore: update_PS190;78.19199999999999;
RestoreOS: Restore: await_update_stockholm;0.0135;
RestoreOS: Restore: await_update_rose;0.0114;
RestoreOS: Restore: await_update_se;0.0132;
RestoreOS: Restore: await_update_update_veridian;0.0134;
RestoreOS: Restore: update_device_firmware;0.0346;
RestoreOS: Restore: certify_yonkers;0.0102;
RestoreOS: Restore: aru_pre_seal_tasks;0.0279;
RestoreOS: Restore: dotara_lock;0.0072;
RestoreOS: Restore: update_syscfg;5.7833;
RestoreOS: Restore: submit_provinfo;0.009900000000000001;
RestoreOS: Restore: verify_fdr_data;6.9328;
RestoreOS: Restore: update_rose_postseal;0.0745;
RestoreOS: Restore: stage_fdr_ean;0.0516;
RestoreOS: Restore: ensure_fdr_ean;0.0385;
RestoreOS: Restore: update_fdr_ean;1.0285;
RestoreOS: Restore: update_fillmore;0.0097;
RestoreOS: Restore: fdr_verify_sealed_manifest;0.0117;
