Log Folder Path;~/Desktop/logs/2025-09-08_10-31-12-0x1810862220011C/archive_20250908_111619;
DFU Mode: Restore;5.4268;
DFU Mode: Transitioning;3.0823;
Recovery: Restore;8.532999999999999;
Recovery: Transitioning;60.8638;
RestoreOS: Restore;2425.0373;
RestoreOS: Transitioning;141.1241;
Total Restore Time;2644.067;

RestoreOS Restore Breakdown;;
RestoreOS: Restore: umask;0.0002;
RestoreOS: Restore: setvbuf;0;
RestoreOS: Restore: set_progress_0;0.0001;
RestoreOS: Restore: disable_app_firewall;0.0001;
RestoreOS: Restore: listen_for_log_client;0;
RestoreOS: Restore: create_listen_socket;0.0001;
RestoreOS: Restore: enable_debugger;0;
RestoreOS: Restore: update_root_mount;0;
RestoreOS: Restore: disable_watchdog;0;
RestoreOS: Restore: usbcretimer_dfucheck;0.0001;
RestoreOS: Restore: enable_usb;0;
RestoreOS: Restore: config_network_interface;0.0001;
RestoreOS: Restore: client_protocol_version;0.008;
RestoreOS: Restore: copy_restore_options;0.2678;
RestoreOS: Restore: wait_for_debugger;0.0064;
RestoreOS: Restore: usbcretimer_dfucheck_enforce;0.0068;
RestoreOS: Restore: network_config_enforce;0.0066;
RestoreOS: Restore: is_host_compatible;0.0117;
RestoreOS: Restore: set_weight_from_options;0.008399999999999999;
RestoreOS: Restore: libauthinstall_callback;0.008999999999999999;
RestoreOS: Restore: set_device_time;0.0232;
RestoreOS: Restore: set_display_options;0.0064;
RestoreOS: Restore: check_for_untethered;0.0066;
RestoreOS: Restore: check_battery_voltage;0.0113;
RestoreOS: Restore: check_battery_capacity;0.0104;
RestoreOS: Restore: update_macos_ticket;0.0222;
RestoreOS: Restore: update_ticket;0.0185;
RestoreOS: Restore: wait_for_storage;0.0499;
RestoreOS: Restore: update_NAND_firmware;8.944599999999999;
RestoreOS: Restore: clear_remap_variable;0.0112;
RestoreOS: Restore: print_nvram_variables;0.067;
RestoreOS: Restore: asp_nand_set_writable;0.0075;
RestoreOS: Restore: find_filesystem_partitions;0.3159;
RestoreOS: Restore: verify_storage_for_update;0.0072;
RestoreOS: Restore: load_sep_os;2.9307;
RestoreOS: Restore: preload_keys_for_fsck;0.0092;
RestoreOS: Restore: fsck_filesystems;0.0155;
RestoreOS: Restore: mount_system_partition;0.9661;
RestoreOS: Restore: fix_cache_delete;0.0075;
RestoreOS: Restore: clean_update_volume;0.0065;
RestoreOS: Restore: space_checks;0.0074;
RestoreOS: Restore: clear_mobile_gestalt_cache;0.0077;
RestoreOS: Restore: read_previous_os_build_version;0.0069;
RestoreOS: Restore: downgrade_check;0.0064;
RestoreOS: Restore: avoid_nonui_ui_update;0.0066;
RestoreOS: Restore: copy_hardware_info;0.007;
RestoreOS: Restore: fdr_create;4.0475;
RestoreOS: Restore: fdr_save_data;0.0111;
RestoreOS: Restore: sep_attest_qa;0.008800000000000001;
RestoreOS: Restore: certify_sep;0.0075;
RestoreOS: Restore: syscfg_presubmit_fdr;0.0086;
RestoreOS: Restore: check_for_restore_log;0.008699999999999999;
RestoreOS: Restore: check_for_uncollected_logs;0.008200000000000001;
RestoreOS: Restore: read_persistent_files;0.6922;
RestoreOS: Restore: unmount_unconditionally;0.033;
RestoreOS: Restore: clean_nand;2.8666;
RestoreOS: Restore: clear_nvram;0.0074;
RestoreOS: Restore: clear_bootpolicy_nvram;0.0226;
RestoreOS: Restore: format_effaceable_storage;0.0098;
RestoreOS: Restore: format_ean_storage;0.0148;
RestoreOS: Restore: create_filesystem_partitions;0.0641;
RestoreOS: Restore: update_partitions_for_apfs;0.0144;
RestoreOS: Restore: reload_filesystem_partitions;0.0322;
RestoreOS: Restore: format_media;8.7738;
RestoreOS: Restore: find_volumes_after_format;0.054;
RestoreOS: Restore: provision_mesa;0.0104;
RestoreOS: Restore: prepare_for_system_image;2.5472;
RestoreOS: Restore: init_gigalocker;1.5615;
RestoreOS: Restore: init_permanent_update_volume;1.4772;
RestoreOS: Restore: mount_filesystem;2.0108;
RestoreOS: Restore: restore_system_image;0.0108;
RestoreOS: Restore: write_persistent_files;0.0461;
RestoreOS: Restore: perform_short_prepare;0.008399999999999999;
RestoreOS: Restore: fdr_restore_saved_data;0.0342;
RestoreOS: Restore: write_factory_version_plist;0.0116;
RestoreOS: Restore: update_aht;0.1422;
